fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
9.02,0.4295,0.3247,1.7009771536620806,0.0932839369159381,15.937061818352545,54.22,0.9906,3.4,0.55,9.01,7
6.78,0.5111,0.2617,3.095315774763894,0.1018133812395299,11.775422689846543,29.32,0.9957,3.4,0.65,9.94,8
6.21,0.5463,0.3694,2.752999151849739,0.0546337630873331,12.710952315722654,28.68,0.9951,3.38,0.79,10.49,8
7.36,0.5842,0.3576,1.84974412172458,0.1149814447528694,12.236628871961086,41.83,0.9955,3.34,0.65,8.26,7
8.72,0.2419,0.2396,2.7280250861827944,0.0629303724769581,9.50225805474224,35.22,0.9962,3.45,0.42,9.97,8
7.6,0.5603,0.2015,4.8304635078602445,0.0861918300042232,19.992379370574568,39.1,0.9933,3.42,0.71,10.8,9
7.87,0.5546,0.3049,3.2523667826458134,0.1174781615744636,13.148168836057724,37.58,0.9954,3.25,0.64,9.41,8
6.95,0.6208,0.229,2.754654298606135,0.1125773031823333,17.574028007501152,49.56,0.9955,3.35,0.73,10.18,8
7.75,0.4674,0.3274,3.217125946961152,0.1082675450686897,11.898972779539925,35.76,0.9996,3.34,0.79,11.11,8
9.05,0.4682,0.2965,3.7642476921902,0.0795673337024276,15.533966985575802,27.5,0.9934,3.26,0.73,10.95,9
6.91,0.6403,0.1973,0.97864932802284,0.0508295124221758,20.351469388895666,38.92,0.9962,3.1,0.63,11.67,8
7.37,0.3637,0.3091,2.073880520967105,0.0586145726328677,22.407883879849983,64.03,0.9924,3.39,0.6,12.04,9
7.5,0.6829,0.2769,1.8829046937724228,0.0736660897238489,19.8322258344112,28.57,0.9987,3.25,0.7,11.0,8
7.54,0.7756,0.2906,1.8543164814727096,0.0663169258520732,10.476673236820574,41.59,0.9952,3.27,0.56,9.95,8
5.51,0.5677,0.3462,4.614278225199166,0.0656467146047584,7.681923083114733,27.28,0.9964,3.33,0.59,10.72,8
4.95,0.6014,0.2635,3.0102830033615646,0.0752830498622376,14.864700843289164,24.51,0.9953,3.21,0.7,11.32,8
5.98,0.371,0.3079,3.615799748107816,0.0672098952211626,17.498584266563693,33.81,0.9932,3.35,0.7,12.11,9
7.4,0.4505,0.2401,2.798932268635661,0.0696783289905331,23.56800526235273,48.41,0.9965,3.44,0.55,13.58,10
7.86,0.6258,0.2413,5.252864282574016,0.0818500946084794,14.58389845305926,53.74,0.9966,3.32,0.68,10.91,9
6.56,0.5562,0.2591,0.4899612524848193,0.0601844302961136,18.995831870455223,41.0,0.9941,3.42,0.51,10.55,7
8.85,0.5019,0.239,2.015615197080199,0.0943634833184603,16.42331659058084,38.46,0.9962,3.23,0.55,8.97,8
7.03,0.5433,0.2984,2.0593787046526737,0.0989294545830432,8.916835675903517,45.16,0.9957,3.35,0.66,7.58,6
7.22,0.5707,0.2038,2.1512064524384336,0.0708433723543186,18.237188258194728,34.02,0.9992,3.29,0.82,13.38,9
6.97,0.4907,0.3115,3.4145018400488154,0.0801969280900408,14.357202849470156,38.83,0.9978,3.09,0.71,13.26,9
7.36,0.5171,0.2319,2.5902044274217597,0.1103673126354598,19.34221088152897,47.16,0.9976,3.41,0.62,12.72,9
8.05,0.5164,0.2889,3.150533757161131,0.0960203454351676,8.156087625183702,24.1,0.9965,3.3,0.43,11.09,9
8.0,0.4148,0.2106,3.542308034922784,0.1123363303099977,19.103184309099063,34.18,0.9962,3.34,0.55,12.14,9
6.12,0.5524,0.2939,2.7254080238462426,0.0954191684103014,14.398006977676715,38.19,0.9949,3.28,0.62,11.71,8
9.03,0.7004,0.3242,3.228527930057941,0.1006283912155666,12.455863565760565,44.56,0.9941,3.27,0.64,10.34,9
5.89,0.6932,0.2705,2.059755720523585,0.0686841710619736,22.87675360808333,23.82,0.998,3.27,0.57,9.35,7
7.3,0.3724,0.3474,1.855122108335954,0.0794065717674962,19.12265885318149,21.84,0.9937,3.26,0.43,10.15,8
6.87,0.5771,0.263,1.6137994919022105,0.0647338384025963,19.02351070336172,19.33,0.9958,3.27,0.54,10.71,8
5.94,0.5876,0.2906,2.5844080331098085,0.0816775207704534,14.324538441328365,31.92,0.9935,3.24,0.59,7.82,6
7.11,0.4789,0.2237,1.54585890743811,0.0908721831388655,9.19721172565753,47.26,0.9954,3.24,0.52,11.66,8
6.31,0.4236,0.2919,1.4300493798394929,0.0847012333689113,8.575915785341817,44.51,0.995,3.18,0.65,10.61,7
7.29,0.3879,0.2416,3.151408742340194,0.0500527646110704,13.36569022502944,48.87,0.9972,3.57,0.5,8.12,7
7.68,0.4755,0.234,1.5695877507726577,0.0642036354214766,8.045865279423023,38.31,0.9936,3.23,0.58,11.13,8
8.97,0.555,0.349,3.0674287928700563,0.0564404466258549,12.63576620258902,38.37,0.9908,3.33,0.56,10.65,9
7.57,0.5042,0.2065,2.1778440272126782,0.0862442206505414,14.778825661296734,38.63,0.9967,3.18,0.4,12.95,9
6.47,0.4589,0.2643,1.921315132891724,0.0721488265864517,13.250508456939372,35.2,0.998,3.29,0.56,9.43,7
6.73,0.3951,0.3056,3.4086255721129253,0.085395061027342,15.98855138078663,65.35,0.9948,3.21,0.59,6.38,6
7.37,0.5551,0.2817,3.4923110927289582,0.0385599449098058,3.5352568250603955,43.85,0.9961,3.23,0.7,9.25,8
7.31,0.6267,0.1776,2.7141977944806523,0.0819757293623746,18.960605615570497,31.4,0.9955,3.23,0.66,11.1,8
8.95,0.4273,0.3002,3.910029592032097,0.0595856680252371,14.403192810700633,37.87,0.9953,3.32,0.61,10.71,9
8.87,0.5648,0.2011,0.8184463329073919,0.0942669847774498,17.86254228961407,49.08,0.9972,3.23,0.57,9.49,8
6.77,0.3321,0.2478,3.5808376836661573,0.0954309524938495,13.15333010308044,20.7,0.997,3.46,0.64,11.13,8
6.54,0.4543,0.2578,1.6961473211502835,0.0911144893570066,14.287246430002012,37.35,0.9974,3.31,0.63,9.98,7
4.13,0.593,0.124,2.269139655980977,0.0988398877864337,9.44256584168603,51.12,0.996,3.11,0.41,7.69,5
6.54,0.4082,0.2647,2.858551193350712,0.096205346568153,16.20268414891694,46.05,0.9963,3.34,0.47,9.81,7
6.03,0.4596,0.3033,1.806363383355076,0.069653746417193,11.429690878545433,35.46,0.9961,3.49,0.38,13.49,9
6.77,0.6618,0.2615,2.4573579592443675,0.0510945234442571,16.264223192442564,48.66,0.9967,3.33,0.71,11.31,8
7.67,0.4467,0.2792,2.0732566302081565,0.0942898310907588,19.305388115119825,38.94,0.9957,3.35,0.33,10.08,8
7.41,0.4346,0.3831,2.272310845793265,0.0864370942242139,15.815631703756832,30.2,0.9933,3.27,0.81,9.27,7
7.16,0.5776,0.3263,4.604499287614198,0.0344624576197561,24.810182641626497,37.99,0.9963,3.36,0.67,10.39,8
7.44,0.7155,0.273,0.6433383160459398,0.0457114743921813,17.10563391342745,53.24,0.9966,3.4,0.59,11.15,8
7.05,0.496,0.3994,2.2852869398760274,0.0541183920200152,14.74289427531419,44.51,0.9964,3.32,0.67,11.35,8
7.44,0.5969,0.2382,2.892827600607462,0.0784216880953823,16.009936963991322,39.77,0.9983,3.43,0.5,10.31,8
3.32,0.6546,0.296,1.3683458086867588,0.0520076674371615,15.86989075577348,24.87,0.9973,3.43,0.52,12.11,7
6.88,0.5526,0.1912,2.331750293656232,0.0931016384967412,18.190369234194065,36.53,0.9977,3.34,0.64,8.84,7
7.07,0.493,0.2899,2.802876914873444,0.0698023159378898,12.06637549718922,47.86,0.9937,3.22,0.55,9.25,7
6.79,0.4324,0.2644,2.85918522945034,0.1109245201447663,16.742845131592713,49.04,0.9973,3.25,0.59,10.95,8
6.94,0.3775,0.273,3.323009188511981,0.0885341339403038,10.371475694331895,23.35,0.9957,3.33,0.53,8.14,7
8.04,0.6312,0.2885,3.59690060715454,0.0773905696387873,15.725972491705502,29.4,0.9941,3.29,0.55,8.43,7
6.48,0.5381,0.284,2.1694302455420287,0.0884369736782293,18.30529633201199,37.44,0.9981,3.22,0.6,11.82,8
9.84,0.6533,0.2164,2.587567918903237,0.0613353684072868,19.40210444651391,36.3,0.9931,3.39,0.74,10.86,9
8.03,0.6189,0.2508,1.080678610610828,0.1089200268201108,13.160392630422114,46.3,0.9928,3.25,0.61,9.86,7
7.19,0.4583,0.2703,2.447495778002522,0.1010086417618938,21.038250897816106,24.38,0.9954,3.2,0.54,9.56,8
6.95,0.4013,0.1985,1.0489271719993052,0.0849313484957265,13.926947354207869,32.9,1.0014,3.35,0.66,9.06,7
7.1,0.5613,0.3101,2.510873766305515,0.1186646642402116,9.018163417211989,48.28,0.9963,3.24,0.52,8.86,7
6.1,0.4567,0.3641,3.3234224968637074,0.0506934232796865,15.594329413710152,49.19,0.9979,3.2,0.57,8.04,7
7.09,0.5577,0.2852,2.9132226443674742,0.0961897098781326,18.665174801328487,25.47,0.9963,3.31,0.83,9.43,7
7.53,0.4469,0.2436,2.591215785241814,0.104082704877701,11.506950432361103,46.08,0.9943,3.58,0.51,12.38,9
7.9,0.4339,0.1549,3.307012583797134,0.0899334045954605,8.180381085734936,25.83,0.9977,3.25,0.64,10.7,8
7.9,0.5059,0.194,3.5711998720624445,0.0768884607908397,15.005841226961625,46.06,0.9937,3.3,0.57,9.3,8
6.87,0.6134,0.287,1.6713861159349177,0.0388019618223877,14.483966590454983,46.94,0.997,3.26,0.54,9.68,7
5.5,0.5507,0.3331,3.686114471039557,0.1017040212163822,11.064815113370726,41.7,0.9917,3.3,0.57,10.9,8
6.4,0.6378,0.259,1.7435778584172654,0.0714671104678149,21.66810350788777,30.24,0.9937,3.16,0.4,10.42,8
9.13,0.3966,0.1956,2.054474278881124,0.0785725809540164,19.086854267412203,20.14,0.9993,3.27,0.49,10.58,9
8.28,0.4143,0.2264,3.22575058836744,0.0997281197092378,20.03444922119064,54.34,0.9993,3.4,0.67,6.58,6
7.64,0.5111,0.2414,2.6775944594582235,0.0997812067361948,8.559121018015798,25.31,0.9941,3.17,0.57,12.23,9
6.29,0.7366,0.1734,2.476844483032994,0.056885901419591,13.583194728577318,33.3,0.9975,3.45,0.47,10.8,8
7.2,0.5874,0.2545,2.672730879359975,0.0602495176404981,12.5839796347216,37.31,0.9979,3.13,0.42,10.62,8
5.69,0.4133,0.3146,3.8133433631161138,0.065844877148029,13.122114024563697,40.32,0.9971,3.39,0.55,12.32,9
6.54,0.5124,0.1859,2.568016945373544,0.093779803229061,20.1098851550872,45.32,0.9959,3.4,0.57,8.67,7
6.91,0.5421,0.242,3.245472098057037,0.1015902166660999,12.162474052036046,44.29,0.9921,3.41,0.59,9.15,7
